level,leg,footfall_order,s,x,y,z
5,FR,11,0.4,3.054117994,-0.1573087908,0.3093792912
5,FR,11,0.5,3.073916282,-0.1292519537,0.318965834
5,FR,11,0.6,3.09371457,-0.1011951167,0.310645834
5,FR,11,0.7,3.113512858,-0.07313827959,0.290805834
5,FR,11,0.8,3.133311147,-0.04508144254,0.267125834
5,FR,11,0.9,3.153109435,-0.01702460548,0.263965834
5,FR,11,1,3.172907723,0.01103223158,0.238965834
5,FR,12,0,3.172907723,0.01103223158,0.238965834
5,FR,12,0.1,3.209108131,0.008604647445,0.263965834
5,FR,12,0.2,3.245308539,0.00617706331,0.263965834
5,FR,12,0.3,3.281508946,0.003749479175,0.278965834
5,FR,12,0.4,3.317709354,0.00132189504,0.2982250933
5,FR,12,0.5,3.353909762,-0.001105689095,0.3130399081
5,FR,12,0.6,3.39011017,-0.00353327323,0.318965834
5,FR,12,0.7,3.426310578,-0.005960857365,0.3012800572
5,FR,12,0.8,3.462510985,-0.0083884415,0.2623713481
5,FR,12,0.9,3.498711393,-0.01081602564,0.2307768623
5,FR,12,1,3.534911801,-0.01324360977,0.2057768623
5,FR,13,0,3.534911801,-0.01324360977,0.2057768623
5,FR,13,0.1,3.536913228,-0.01003377792,0.2307768623
5,FR,13,0.2,3.538914655,-0.006823946076,0.2339368623
5,FR,13,0.3,3.540916081,-0.003614114229,0.2576168623
5,FR,13,0.4,3.542917508,-0.000404282382,0.2774568623
5,FR,13,0.5,3.544918935,0.002805549465,0.2857768623
5,FR,13,0.6,3.546920362,0.006015381312,0.2773368214
5,FR,13,0.7,3.548921789,0.009225213159,0.2572105701
5,FR,13,0.8,3.550923215,0.01243504501,0.2331889153
5,FR,13,0.9,3.552924642,0.01564487685,0.2307768623
5,FR,13,1,3.554926069,0.0188547087,0.2046226231
5,FR,14,0,3.554926069,0.0188547087,0.2046226231
5,FR,14,0.1,3.591146774,0.01623702544,0.2307768623
5,FR,14,0.2,3.627367479,0.01361934219,0.2587247596
5,FR,14,0.3,3.663588184,0.01100165893,0.2959199784
5,FR,14,0.4,3.699808889,0.008383975678,0.312826896
5,FR,14,0.5,3.736029594,0.005766292422,0.3069009701
5,FR,14,0.6,3.772250298,0.003148609166,0.2920861553
5,FR,14,0.7,3.808471003,0.0005309259108,0.272826896
5,FR,14,0.8,3.844691708,-0.002086757345,0.257826896
5,FR,14,0.9,3.880912413,-0.0047044406,0.257826896
5,FR,14,1,3.917133118,-0.007322123856,0.232826896
5,HL,0,0,-0.1934,0.142,0.15
5,HL,0,0.1,-0.08853811038,0.1316286767,0.175
5,HL,0,0.2,0.01632377924,0.1212573533,0.1781600002
5,HL,0,0.3,0.1211856689,0.11088603,0.2018400004
5,HL,0,0.4,0.2260475585,0.1005147067,0.2216800006
5,HL,0,0.5,0.3309094481,0.09014338335,0.2300000007
5,HL,0,0.6,0.4357713377,0.07977206003,0.2208929142
5,HL,0,0.7,0.5406332273,0.0694007367,0.1991760158
5,HL,0,0.8,0.645495117,0.05902941337,0.175
5,HL,0,0.9,0.7503570066,0.04865809004,0.1712516259
5,HL,0,1,0.8552188962,0.03828676671,0.1424318617
5,HL,1,0,0.8552188962,0.03828676671,0.1424318617
5,HL,1,0.1,0.8883291814,0.03660595236,0.1674318617
5,HL,1,0.2,0.9214394666,0.03492513801,0.1674318617
5,HL,1,0.3,0.9545497517,0.03324432366,0.1824318617
5,HL,1,0.4,0.9876600369,0.03156350931,0.201691121
5,HL,1,0.5,1.020770322,0.02988269497,0.2165059358
5,HL,1,0.6,1.053880607,0.02820188062,0.2224318617
5,HL,1,0.7,1.086990892,0.02652106627,0.2064502485
5,HL,1,0.8,1.120101178,0.02484025192,0.1712906996
5,HL,1,0.9,1.153211463,0.02315943757,0.1451495375
5,HL,1,1,1.186321748,0.02147862322,0.1201495375
5,HL,2,0,1.186321748,0.02147862322,0.1201495375
5,HL,2,0.1,1.191028354,0.01911566807,0.1451495375
5,HL,2,0.2,1.195734959,0.01675271292,0.1484617745
5,HL,2,0.3,1.200441565,0.01438975778,0.1722697919
5,HL,2,0.4,1.205148171,0.01202680263,0.1922170498
5,HL,2,0.5,1.209854776,0.00966384748,0.2005820289
5,HL,2,0.6,1.214561382,0.007300892332,0.1919519079
5,HL,2,0.7,1.219267988,0.004937937184,0.1713723884
5,HL,2,0.8,1.223974594,0.002574982036,0.1468097362
5,HL,2,0.9,1.228681199,0.000212026888,0.1454540475
5,HL,2,1,1.233387805,-0.00215092826,0.1176000957
5,HL,3,0,1.233387805,-0.00215092826,0.1176000957
5,HL,3,0.1,1.266470588,-0.001517179438,0.1451495375
5,HL,3,0.2,1.299553371,-0.0008834306154,0.1483883935
