# D1 OCS2 DTC reference | source=ocs2_rollout primary=fk stair_rise=0.05 lane_y=-3.6 comH=0.5
# frames: world=MuJoCo(x fwd,z up); rel=yaw-only base (Rz(-yaw)*(foot-base), z=foot_z-base_z)
# primary foothold = OCS2 FK foot (dynamically feasible) if primary=fk; region_*=terrain-snap sanity; st=stance valid=region_valid
base_x,base_y,base_z,base_pitch,base_yaw,FL_wx,FL_wy,FL_wz,FL_rx,FL_ry,FL_rz,FL_fkx,FL_fky,FL_fkz,FL_regx,FL_regy,FL_regz,FL_st,FL_valid,FR_wx,FR_wy,FR_wz,FR_rx,FR_ry,FR_rz,FR_fkx,FR_fky,FR_fkz,FR_regx,FR_regy,FR_regz,FR_st,FR_valid,HL_wx,HL_wy,HL_wz,HL_rx,HL_ry,HL_rz,HL_fkx,HL_fky,HL_fkz,HL_regx,HL_regy,HL_regz,HL_st,HL_valid,HR_wx,HR_wy,HR_wz,HR_rx,HR_ry,HR_rz,HR_fkx,HR_fky,HR_fkz,HR_regx,HR_regy,HR_regz,HR_st,HR_valid
0.0416,-3.5048,0.5141,-0.0394,0.0045,0.4342,-3.4305,0.0566,0.3929,0.0725,-0.4575,0.4342,-3.4305,0.0566,0.5173,-3.3655,0.0000,0,1,0.4047,-3.6377,0.0107,0.3625,-0.1345,-0.5034,0.4047,-3.6377,0.0107,0.4426,-3.6405,0.0000,1,1,-0.1727,-3.3024,0.0116,-0.2134,0.2034,-0.5025,-0.1727,-3.3024,0.0116,-0.1173,-3.3680,0.0000,1,1,-0.1483,-3.7450,0.0799,-0.1910,-0.2393,-0.4342,-0.1483,-3.7450,0.0799,-0.0400,-3.6430,0.0000,0,1
0.0457,-3.5027,0.5150,-0.0388,0.0071,0.4407,-3.4231,0.0676,0.3956,0.0768,-0.4474,0.4407,-3.4231,0.0676,0.5211,-3.3624,0.0000,0,1,0.4048,-3.6381,0.0109,0.3581,-0.1379,-0.5041,0.4048,-3.6381,0.0109,0.4450,-3.6374,0.0000,1,1,-0.1726,-3.3029,0.0113,-0.2169,0.2013,-0.5037,-0.1726,-3.3029,0.0113,-0.1155,-3.3665,0.0000,1,1,-0.1392,-3.7421,0.0897,-0.1866,-0.2381,-0.4253,-0.1392,-3.7421,0.0897,-0.0356,-3.6415,0.0000,0,1
0.0501,-3.5012,0.5158,-0.0374,0.0091,0.4469,-3.4163,0.0757,0.3976,0.0813,-0.4401,0.4469,-3.4163,0.0757,0.5252,-3.3602,0.0000,0,1,0.4049,-3.6382,0.0109,0.3535,-0.1402,-0.5049,0.4049,-3.6382,0.0109,0.4477,-3.6352,0.0000,1,1,-0.1725,-3.3030,0.0111,-0.2208,0.2002,-0.5047,-0.1725,-3.3030,0.0111,-0.1134,-3.3654,0.0000,1,1,-0.1313,-3.7385,0.0977,-0.1836,-0.2356,-0.4181,-0.1313,-3.7385,0.0977,-0.0309,-3.6403,0.0000,0,1
0.0547,-3.5003,0.5166,-0.0353,0.0106,0.4531,-3.4103,0.0797,0.3993,0.0858,-0.4369,0.4531,-3.4103,0.0797,0.5296,-3.3587,0.0000,0,1,0.4050,-3.6383,0.0110,0.3488,-0.1417,-0.5056,0.4050,-3.6383,0.0110,0.4505,-3.6337,0.0000,1,1,-0.1725,-3.3030,0.0110,-0.2251,0.1997,-0.5056,-0.1725,-3.3030,0.0110,-0.1110,-3.3647,0.0000,1,1,-0.1240,-3.7345,0.1016,-0.1812,-0.2323,-0.4150,-0.1240,-3.7345,0.1016,-0.0260,-3.6396,0.0000,0,1
0.0596,-3.4998,0.5173,-0.0327,0.0116,0.4598,-3.4052,0.0786,0.4013,0.0900,-0.4387,0.4598,-3.4052,0.0786,0.5344,-3.3579,0.0000,0,1,0.4050,-3.6383,0.0110,0.3438,-0.1425,-0.5063,0.4050,-3.6383,0.0110,0.4536,-3.6328,0.0000,1,1,-0.1724,-3.3031,0.0110,-0.2297,0.1994,-0.5063,-0.1724,-3.3031,0.0110,-0.1082,-3.3644,0.0000,1,1,-0.1171,-3.7303,0.1004,-0.1794,-0.2284,-0.4169,-0.1171,-3.7303,0.1004,-0.0210,-3.6394,0.0000,0,1
0.0648,-3.4998,0.5178,-0.0297,0.0123,0.4663,-3.4007,0.0729,0.4027,0.0942,-0.4449,0.4663,-3.4007,0.0729,0.5394,-3.3576,0.0000,0,1,0.4051,-3.6383,0.0111,0.3386,-0.1427,-0.5067,0.4051,-3.6383,0.0111,0.4568,-3.6326,0.0000,1,1,-0.1724,-3.3031,0.0109,-0.2348,0.1996,-0.5069,-0.1724,-3.3031,0.0109,-0.1052,-3.3645,0.0000,1,1,-0.1104,-3.7258,0.0946,-0.1780,-0.2238,-0.4232,-0.1104,-3.7258,0.0946,-0.0158,-3.6395,0.0000,0,1
0.0701,-3.5002,0.5183,-0.0264,0.0127,0.4703,-3.3968,0.0649,0.4015,0.0983,-0.4534,0.4703,-3.3968,0.0649,0.5447,-3.3579,0.0000,0,1,0.4051,-3.6383,0.0111,0.3332,-0.1423,-0.5072,0.4051,-3.6383,0.0111,0.4602,-3.6328,0.0000,1,1,-0.1723,-3.3031,0.0109,-0.2399,0.2002,-0.5074,-0.1723,-3.3031,0.0109,-0.1019,-3.3650,0.0000,1,1,-0.1038,-3.7211,0.0856,-0.1767,-0.2187,-0.4327,-0.1038,-3.7211,0.0856,-0.0103,-3.6400,0.0000,0,1
0.0757,-3.5010,0.5186,-0.0229,0.0130,0.4794,-3.3934,0.0554,0.4051,0.1023,-0.4632,0.4794,-3.3934,0.0554,0.5502,-3.3586,0.0000,0,1,0.4052,-3.6383,0.0112,0.3277,-0.1416,-0.5074,0.4052,-3.6383,0.0112,0.4638,-3.6336,0.0000,1,1,-0.1722,-3.3031,0.0108,-0.2453,0.2011,-0.5078,-0.1722,-3.3031,0.0108,-0.0983,-3.3659,0.0000,1,1,-0.0975,-3.7158,0.0741,-0.1760,-0.2125,-0.4445,-0.0975,-3.7158,0.0741,-0.0047,-3.6408,0.0000,0,1
0.0815,-3.5022,0.5190,-0.0190,0.0132,0.4816,-3.3906,0.0453,0.4015,0.1063,-0.4737,0.4816,-3.3906,0.0453,0.5560,-3.3597,0.0000,0,1,0.4053,-3.6384,0.0112,0.3220,-0.1405,-0.5078,0.4053,-3.6384,0.0112,0.4676,-3.6347,0.0000,1,1,-0.1722,-3.3032,0.0108,-0.2511,0.2023,-0.5082,-0.1722,-3.3032,0.0108,-0.0946,-3.3671,0.0000,1,1,-0.0918,-3.7101,0.0615,-0.1760,-0.2056,-0.4575,-0.0918,-3.7101,0.0615,0.0011,-3.6421,0.0000,0,1
0.0874,-3.5039,0.5194,-0.0147,0.0133,0.4881,-3.3881,0.0352,0.4022,0.1105,-0.4842,0.4881,-3.3881,0.0352,0.5619,-3.3613,0.0000,0,1,0.4053,-3.6384,0.0113,0.3161,-0.1387,-0.5081,0.4053,-3.6384,0.0113,0.4716,-3.6363,0.0000,1,1,-0.1722,-3.3033,0.0108,-0.2569,0.2040,-0.5086,-0.1722,-3.3033,0.0108,-0.0906,-3.3688,0.0000,1,1,-0.0866,-3.7041,0.0489,-0.1766,-0.1979,-0.4705,-0.0866,-3.7041,0.0489,0.0071,-3.6438,0.0000,0,1
