t,q0,q1,q2,q3,q4,q5,q6,q7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7
0.0,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.629,0.056,-6.667,4.355,-4.801,0.092,-5.927,5.991,-0.93,-2.27,-0.22,-1.41,2.05,-2.35,2.99,-5.54
0.051,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.895,0.128,-6.758,4.275,-4.98,0.048,-5.755,6.028,-2.02,1.72,-0.74,-2.36,-0.98,3.14,-0.5,2.03
0.102,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.547,0.194,-6.718,4.315,-4.859,0.049,-5.852,5.972,0.91,0.21,1.79,-1.93,1.94,4.71,-0.18,1.57
0.152,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.633,0.273,-6.708,4.378,-4.762,0.029,-5.855,5.981,-0.18,-2.21,1.8,-1.74,0.22,0.46,0.72,-0.54
0.203,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.895,0.327,-6.669,4.329,-4.695,-0.1,-5.748,6.117,0.26,1.36,0.22,-1.15,-2.01,-0.03,0.22,-0.8
0.254,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.582,0.195,-6.766,4.366,-4.68,0.062,-5.728,6.061,1.15,-1.96,0.44,-1.72,1.5,-1.12,-1.07,-1.37
0.304,-1.37,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.633,0.16,-6.714,4.296,-4.871,0.023,-6.043,5.869,-3.25,-1.17,-0.75,0.43,0.46,-2.37,1.69,-5.16
0.355,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.473,0.164,-6.764,4.205,-4.777,-0.022,-5.842,6.0,0.51,2.24,-1.67,4.17,0.22,0.8,0.61,-1.46
0.405,-1.36,3.55,-22.12,-64.41,1.38,3.66,-22.0,-65.64,4.668,0.317,-6.601,4.303,-5.047,0.059,-5.691,6.122,-0.97,-4.22,-0.28,2.39,5.63,-1.14,0.79,0.87
0.456,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.104,-6.816,4.259,-4.855,0.026,-5.665,6.066,2.46,-1.44,0.61,-3.28,-1.83,0.91,-0.98,2.0
0.507,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.805,0.21,-6.607,4.291,-4.715,-0.054,-5.875,5.991,2.49,-3.49,0.53,0.74,0.35,4.38,-1.46,2.77
0.557,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.93,0.214,-6.776,4.334,-4.484,0.012,-5.551,5.986,-2.99,3.19,-0.93,1.03,-0.62,-1.58,-2.48,2.46
0.607,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.594,0.203,-6.639,4.441,-4.656,0.1,-5.77,6.042,0.56,-1.07,1.58,-3.98,0.23,-1.0,2.78,-2.96
0.658,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.812,0.326,-6.734,4.388,-4.68,0.049,-5.673,6.145,0.69,-0.32,-0.58,2.11,-1.27,0.82,1.14,1.2
0.709,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.652,0.209,-6.638,4.355,-4.734,0.19,-5.852,6.019,0.85,-2.72,0.53,0.9,-6.92,2.12,-1.69,1.9
0.759,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.637,0.209,-6.615,4.301,-4.656,0.066,-5.616,6.103,1.09,2.29,0.44,-1.33,-2.21,-2.04,2.13,-2.67
0.809,-1.36,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.691,0.102,-6.759,4.233,-4.656,-0.038,-5.882,6.112,-2.6,1.67,-3.51,5.37,0.01,-1.6,-1.34,4.31
0.86,-1.37,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.629,0.28,-6.48,4.348,-4.691,0.04,-5.637,6.047,-2.87,-1.91,-1.14,3.14,-4.91,0.32,-0.87,-2.53
0.91,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.879,0.085,-6.867,4.312,-4.598,0.034,-5.79,5.981,-0.09,0.98,-2.0,2.04,-1.2,2.58,-2.45,4.5
0.961,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.723,0.129,-6.763,4.364,-4.547,0.052,-6.094,6.023,-1.28,-1.05,0.42,-2.04,-5.88,0.69,0.72,-2.05
1.011,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.707,0.274,-6.598,4.289,-4.723,-0.003,-5.87,5.902,1.48,-2.44,1.07,-1.1,-2.58,-2.98,0.31,1.43
1.062,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.48,0.215,-6.63,4.397,-4.621,0.061,-5.991,5.892,0.7,1.05,-0.66,1.89,2.86,-1.36,-0.28,0.11
1.112,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.539,0.207,-6.887,4.24,-4.812,0.125,-5.804,5.944,0.54,-1.03,-0.52,1.08,-1.56,-0.92,-2.04,4.53
1.163,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.641,0.3,-6.832,4.266,-4.707,0.073,-5.539,5.962,-2.04,2.75,1.11,-6.02,-5.39,0.13,1.42,0.81
1.213,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.918,0.24,-6.777,4.409,-4.875,-0.025,-5.756,6.056,-0.3,-2.31,-1.78,0.26,0.89,-1.23,1.64,-0.01
1.264,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.906,0.17,-6.932,4.23,-4.781,-0.04,-5.636,6.042,1.01,2.15,-0.38,-1.19,-1.19,1.41,1.0,0.6
1.314,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.492,0.251,-6.881,4.322,-4.637,0.015,-5.873,5.986,2.28,-2.29,1.32,-2.62,-0.07,0.55,0.88,-1.66
1.365,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.574,0.195,-6.86,4.378,-4.652,0.047,-5.75,6.08,2.33,-2.15,0.28,0.58,0.71,-0.88,-0.04,1.13
1.416,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.605,0.256,-6.676,4.345,-4.84,0.116,-5.896,5.911,-1.57,-0.97,-1.47,2.57,-5.25,-0.61,1.71,-3.02
1.467,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.816,0.136,-6.423,4.47,-4.828,0.029,-5.753,5.972,-4.68,0.45,-0.75,0.95,0.86,-1.24,-0.31,0.12
1.517,-1.36,3.56,-22.12,-64.41,1.35,3.65,-22.0,-65.64,4.652,0.265,-6.933,4.317,-4.688,0.087,-5.879,6.009,0.7,-1.02,-0.93,0.61,-3.14,-2.42,2.43,-2.89
1.568,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.598,0.283,-6.898,4.235,-5.082,0.124,-5.477,6.042,0.78,-0.33,1.98,-4.5,-1.36,0.99,0.2,-2.31
1.618,-1.35,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.617,0.188,-6.73,4.327,-4.789,0.048,-5.905,5.972,3.6,-1.78,-0.01,2.41,1.71,0.31,-1.19,2.02
1.669,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.676,0.202,-6.798,4.329,-4.66,-0.08,-5.762,6.103,0.71,-2.08,-0.83,1.68,2.35,-1.77,1.44,-1.16
1.719,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,5.07,0.161,-6.711,4.228,-4.766,0.1,-5.382,5.92,-3.03,0.72,-1.42,-2.8,0.73,1.97,-2.14,4.56
1.77,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.727,0.154,-6.734,4.329,-4.316,0.092,-6.016,5.972,1.56,-2.2,1.35,-1.25,4.41,0.64,-1.01,-0.42
1.82,-1.37,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.68,0.263,-6.436,4.427,-4.762,0.032,-5.925,5.888,-4.23,2.0,-0.38,1.58,1.52,-1.37,-1.71,3.0
1.871,-1.36,3.55,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.652,0.201,-6.846,4.439,-4.699,0.05,-5.889,5.953,2.87,-6.02,2.04,-1.87,-2.89,0.74,1.05,-1.1
1.922,-1.36,3.55,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.652,0.201,-6.846,4.439,-4.699,0.05,-5.889,5.953,2.87,-6.02,2.04,-1.87,-2.89,0.74,1.05,-1.1
1.972,-1.36,3.57,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.562,0.202,-6.696,4.308,-4.602,-0.066,-5.87,5.948,2.06,2.26,3.2,-0.27,-1.93,-1.51,-1.04,-2.52
2.023,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.914,0.15,-6.887,4.275,-4.711,0.044,-5.793,6.014,3.26,-2.94,-0.66,0.66,1.58,-5.42,-0.14,-2.4
2.074,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.793,0.214,-6.575,4.399,-4.727,0.075,-5.787,5.944,-1.8,-2.51,0.89,-3.52,-3.17,-2.61,0.32,0.73
2.124,-1.36,3.57,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.719,0.274,-6.731,4.191,-4.773,0.14,-5.572,6.164,-0.68,3.78,-0.13,0.96,-2.63,5.05,1.72,-3.71
2.175,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.656,0.3,-6.626,4.366,-4.871,0.077,-5.882,5.972,-1.16,1.18,0.94,-1.33,3.27,0.75,-0.09,2.41
2.226,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.609,0.245,-6.7,4.345,-4.77,0.068,-5.978,5.911,-2.48,-0.96,-0.2,-0.33,-3.28,0.35,1.17,-2.87
2.276,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.938,0.261,-6.882,4.268,-4.875,0.119,-5.745,5.962,2.92,-0.17,-1.51,0.56,1.88,-1.3,-1.25,2.68
2.327,-1.36,3.56,-22.11,-64.42,1.37,3.66,-22.0,-65.64,4.664,0.239,-6.778,4.437,-4.965,-0.125,-5.534,6.103,-2.03,-1.08,2.23,0.05,1.46,-0.15,1.49,-1.58
2.377,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.492,0.24,-6.899,4.334,-5.02,0.287,-5.721,6.009,0.18,-2.27,1.42,-1.62,1.11,1.17,0.87,-0.15
2.428,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.652,0.134,-6.751,4.364,-4.898,0.059,-5.679,5.981,0.45,-4.04,0.89,0.25,2.32,2.03,-1.05,3.04
2.478,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.578,0.148,-6.788,4.357,-4.891,-0.039,-5.645,6.22,-0.42,2.14,0.74,-1.8,1.46,1.48,-0.76,-1.27
2.529,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.762,0.164,-6.645,4.371,-4.82,0.102,-5.886,5.991,-0.77,1.99,-1.63,4.19,3.38,3.63,0.22,-2.71
2.579,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.175,-6.736,4.42,-4.754,0.062,-5.882,6.042,-0.46,1.82,-0.78,-1.86,-2.52,-1.01,0.81,-2.67
2.63,-1.35,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.605,0.218,-6.495,4.38,-4.762,-0.018,-5.78,5.986,3.93,-3.63,0.43,-0.15,2.04,0.23,-0.37,0.83
2.68,-1.37,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.828,0.19,-6.761,4.413,-4.574,0.105,-5.494,6.037,-4.91,-2.66,0.61,-0.35,3.77,-4.12,-1.84,4.88
2.731,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.711,0.091,-6.891,4.383,-4.465,0.014,-5.891,5.962,-0.73,1.7,-0.92,0.8,-1.47,1.74,0.1,-2.51
2.782,-1.36,3.57,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.797,0.2,-6.584,4.327,-4.594,0.081,-5.827,5.939,-1.91,0.69,0.26,-2.87,1.87,-3.7,0.1,1.03
2.833,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.645,0.176,-6.648,4.291,-4.91,0.033,-5.614,6.005,1.72,-3.28,0.8,-1.29,-1.63,0.44,0.21,-1.71
2.883,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.68,0.28,-6.829,4.345,-4.609,0.149,-5.634,5.967,3.55,-0.91,0.79,0.7,-2.3,0.89,-0.63,-3.09
2.934,-1.36,3.57,-22.12,-64.41,1.37,3.67,-22.0,-65.64,4.875,0.121,-6.312,4.446,-4.383,0.129,-5.646,5.991,-2.35,2.11,-1.06,0.19,4.51,3.31,-0.86,1.94
2.984,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.766,0.21,-6.648,4.35,-4.637,0.058,-5.784,6.075,-2.78,-2.61,-0.45,3.04,-0.73,2.21,-0.29,1.49
3.035,-1.36,3.58,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.508,0.203,-6.577,4.416,-4.895,-0.019,-5.584,6.07,-0.87,5.17,-1.67,-0.12,-2.37,2.48,0.08,1.44
3.085,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.551,0.207,-6.574,4.359,-4.914,0.132,-5.793,5.92,-2.5,-2.82,-1.82,-2.09,1.05,-0.57,1.03,-1.16
3.136,-1.37,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.695,0.184,-6.881,4.298,-4.789,0.022,-5.611,5.967,-3.93,-0.91,0.37,1.76,0.91,1.7,-1.76,1.28
3.186,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.84,0.271,-6.561,4.448,-4.672,0.152,-6.089,5.958,0.66,-0.71,1.35,-0.85,-1.1,-2.3,-1.24,0.98
3.237,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.82,0.397,-6.716,4.364,-4.926,0.023,-5.786,6.08,-1.55,-1.56,0.72,2.69,-2.4,-1.08,-1.11,2.38
3.288,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.66,0.085,-6.759,4.362,-4.762,0.096,-5.926,5.916,-0.35,1.24,-0.26,2.0,-2.19,-1.69,-2.6,1.43
3.339,-1.36,3.56,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.777,0.262,-6.879,4.348,-4.727,-0.02,-5.906,6.094,-0.15,-1.31,2.01,-2.02,-2.18,-3.06,0.97,-1.34
3.389,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.629,0.105,-6.837,4.273,-4.801,0.042,-5.892,5.92,1.46,0.87,-0.47,2.36,-0.51,0.2,2.03,0.42
3.44,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.891,0.289,-6.689,4.28,-4.746,0.147,-5.712,6.019,1.08,0.82,-0.31,3.83,0.4,-0.89,3.36,-4.5
3.491,-1.36,3.57,-22.13,-64.4,1.36,3.66,-22.0,-65.64,4.781,0.256,-6.93,4.39,-4.711,-0.06,-5.691,6.005,-1.22,1.2,-4.55,5.95,0.25,-1.7,-0.79,1.02
3.541,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.789,0.047,-6.971,4.32,-4.57,0.073,-6.082,5.953,1.15,-0.55,-2.22,5.86,0.43,0.67,-1.34,1.43
3.592,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.68,0.282,-6.94,4.24,-4.664,0.02,-5.865,5.836,2.31,3.63,-0.46,0.35,1.16,0.44,-0.88,2.03
3.643,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.695,0.094,-6.84,4.298,-4.723,-0.063,-5.593,6.084,3.7,-2.18,-0.28,2.1,-0.74,0.22,0.59,-1.21
3.693,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.75,0.169,-6.674,4.23,-4.926,0.036,-5.864,5.972,2.3,0.11,-0.35,-0.08,-3.06,0.54,-0.92,2.08
3.744,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.645,0.308,-6.939,4.247,-4.441,0.07,-5.808,6.005,2.68,1.78,-2.94,1.07,2.74,-1.07,-0.17,0.69
3.794,-1.36,3.56,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.605,0.122,-6.813,4.261,-4.613,0.032,-5.734,5.944,2.71,-2.46,0.74,-0.87,-5.18,1.28,2.16,-2.06
3.845,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.91,0.209,-6.771,4.28,-4.668,0.138,-5.707,5.906,-0.48,1.98,-1.36,1.02,0.22,2.59,-1.85,4.2
3.896,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.723,0.172,-6.871,4.315,-4.695,-0.016,-5.818,6.047,-1.46,0.09,-1.49,-0.0,-1.16,0.42,-1.31,1.66
3.946,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,5.051,0.225,-6.718,4.432,-4.746,-0.018,-5.959,5.93,-4.51,3.66,-0.56,0.57,-2.21,-1.29,0.66,1.67
3.997,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.625,0.26,-6.87,4.252,-4.914,0.08,-5.702,5.934,-2.13,-2.09,1.47,-1.89,0.23,1.87,-0.21,-0.98
4.047,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.617,0.257,-6.764,4.369,-4.688,0.015,-5.903,6.009,-2.23,1.39,-0.37,1.37,-2.11,0.26,-1.23,3.88
4.098,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.5,0.144,-6.853,4.245,-4.551,0.079,-5.563,6.173,0.68,-0.41,-1.55,3.81,-1.57,0.48,-0.39,0.75
4.149,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.73,0.206,-6.605,4.294,-4.926,0.092,-5.747,6.019,5.26,-1.46,-0.13,5.91,0.31,0.38,-1.98,3.55
4.199,-1.37,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.66,0.17,-6.742,4.28,-4.715,0.05,-5.722,6.061,-3.98,2.26,-0.26,-0.61,-2.71,-2.43,0.12,-0.15
4.249,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.867,0.294,-6.667,4.308,-4.797,0.118,-5.809,5.962,0.9,-0.14,-2.34,-0.74,-2.41,4.24,-0.19,1.43
4.3,-1.36,3.57,-22.11,-64.42,1.37,3.66,-22.0,-65.64,4.621,0.201,-6.763,4.352,-4.547,0.091,-5.88,6.061,0.61,0.56,2.55,-3.06,2.74,-0.03,-1.25,4.2
4.351,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,5.105,0.235,-6.773,4.418,-4.75,-0.06,-5.877,6.047,0.79,-1.08,0.89,-0.95,0.8,-0.34,-0.97,1.37
4.401,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.641,0.2,-6.845,4.294,-4.824,0.108,-5.55,5.981,2.07,-1.5,0.74,0.22,0.73,0.38,-0.39,0.06
4.452,-1.37,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.68,0.069,-6.843,4.413,-4.941,0.033,-5.614,6.052,-3.03,-1.67,-0.32,0.31,0.11,-3.85,1.08,-1.36
4.502,-1.36,3.57,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.656,0.165,-6.686,4.359,-4.914,0.054,-5.741,6.089,1.23,0.82,0.72,-0.08,-1.2,-2.84,-1.19,-0.72
4.553,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.59,0.149,-6.741,4.369,-4.922,0.027,-5.856,6.009,2.12,-1.93,0.83,0.5,-2.66,-1.47,-1.21,3.82
4.604,-1.35,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.652,0.215,-6.993,4.252,-4.727,0.061,-5.707,6.047,3.84,4.38,0.44,0.24,4.07,-0.08,-1.26,-2.25
4.654,-1.36,3.56,-22.12,-64.41,1.37,3.65,-22.0,-65.64,4.852,0.172,-6.735,4.439,-4.949,0.082,-5.788,5.995,1.63,-4.71,-0.88,3.09,4.61,-2.78,-0.63,0.61
4.705,-1.36,3.56,-22.11,-64.42,1.36,3.66,-22.0,-65.64,4.863,0.271,-6.788,4.392,-5.113,0.065,-5.823,6.042,1.23,-1.96,2.94,-4.7,-1.56,-1.56,0.82,-1.0
4.755,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.676,0.241,-6.727,4.359,-4.871,-0.054,-5.644,6.052,3.91,-0.58,-1.26,1.2,-2.12,-0.13,1.43,-0.76
4.806,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.688,0.118,-6.738,4.336,-4.883,0.084,-5.721,6.033,1.24,-2.21,1.69,-1.15,-1.24,0.28,-1.58,2.01
4.856,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.773,0.125,-6.641,4.404,-4.742,0.035,-5.63,6.019,-2.0,-2.72,1.62,-0.26,-0.91,-0.8,1.41,-4.12
4.907,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.93,0.232,-6.619,4.327,-4.555,0.045,-5.575,6.009,-1.95,-0.27,-0.53,-0.47,1.21,1.83,1.42,-1.63
4.957,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.953,0.114,-6.831,4.32,-5.094,0.126,-5.732,6.098,-1.76,0.54,-2.44,4.38,-3.08,1.91,-1.35,1.32
5.008,-1.36,3.56,-22.12,-64.41,1.36,3.67,-22.0,-65.64,4.809,0.216,-6.786,4.341,-4.859,0.051,-6.12,5.822,-2.12,-1.59,-1.36,4.21,0.52,3.89,0.95,-2.57
5.058,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.887,0.205,-6.867,4.336,-4.605,-0.001,-5.947,6.047,-0.4,-0.78,0.59,-0.61,-0.97,0.27,0.85,0.15
5.109,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.574,0.184,-6.703,4.324,-4.707,-0.026,-5.771,5.953,-1.52,1.57,-2.13,4.72,1.53,-0.45,-0.09,-0.03
5.159,-1.36,3.56,-22.12,-64.41,1.35,3.67,-22.0,-65.64,4.723,0.137,-6.884,4.261,-4.598,0.084,-5.591,6.052,0.47,-1.5,0.56,2.22,-3.45,4.72,-0.69,-0.78
5.21,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.254,0.358,-6.824,4.245,-4.648,0.001,-5.645,5.845,-0.86,-3.19,0.15,0.62,2.1,1.3,-1.65,1.94
5.26,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.922,0.174,-6.531,4.303,-4.547,0.101,-5.552,6.037,1.25,0.48,-0.27,0.59,-0.21,0.78,-2.02,2.06
5.311,-1.36,3.57,-22.12,-64.41,1.35,3.67,-22.0,-65.64,4.68,0.071,-6.587,4.364,-4.973,0.085,-5.779,5.934,-2.71,3.42,0.1,2.24,-4.04,3.03,0.17,-1.83
5.361,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.512,0.243,-6.788,4.334,-4.645,-0.006,-5.625,5.93,-2.89,-1.2,0.66,-0.52,2.26,1.18,-0.12,-2.45
5.412,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.684,0.233,-6.771,4.256,-4.961,0.004,-5.815,5.986,-0.65,0.5,0.58,-1.41,1.73,-1.11,-0.52,-0.66
5.463,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.727,0.205,-6.748,4.514,-4.918,0.04,-5.685,6.005,2.82,-3.25,-0.08,4.22,2.16,1.69,-0.94,1.18
5.513,-1.36,3.57,-22.12,-64.41,1.35,3.66,-22.0,-65.64,4.605,0.341,-6.656,4.242,-4.766,0.161,-5.689,6.047,-0.64,2.69,-0.19,-3.07,-4.02,2.74,-1.95,2.43
5.563,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.855,0.194,-6.531,4.315,-4.801,0.143,-5.843,6.052,1.62,1.25,-0.11,2.0,1.73,1.08,-1.34,0.85
5.614,-1.37,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.852,0.261,-6.667,4.413,-4.863,-0.001,-5.891,5.939,-3.29,-2.16,-0.43,-0.12,1.9,0.31,-0.52,-1.57
5.665,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.57,0.215,-6.851,4.399,-4.758,0.137,-5.798,6.037,-2.35,-2.79,-0.79,0.86,2.29,1.05,-1.26,1.17
5.715,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.875,0.162,-6.464,4.376,-4.84,0.114,-5.827,5.939,-0.86,-1.11,0.88,-0.7,1.98,2.2,0.08,1.26
5.766,-1.37,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.953,0.02,-6.652,4.329,-4.934,0.017,-5.511,6.061,-3.02,2.75,-1.09,2.38,1.02,-0.23,1.65,-2.78
5.816,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.93,0.191,-6.922,4.287,-5.008,0.028,-5.637,6.023,-1.12,2.74,-0.8,-0.84,3.63,-0.08,2.38,-3.44
5.866,-1.36,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.652,0.195,-6.895,4.32,-4.801,-0.017,-5.831,5.958,-0.52,-4.22,-1.45,2.4,-0.96,0.45,-1.05,0.2
5.917,-1.35,3.56,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.738,0.173,-6.757,4.259,-4.867,-0.005,-5.977,5.953,4.08,-1.54,-1.49,2.85,-0.51,-1.03,1.12,-0.29
5.967,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.777,0.102,-6.611,4.364,-4.898,-0.052,-6.052,6.042,-0.57,0.67,0.62,-1.71,0.62,-1.58,-1.01,-0.67
6.018,-1.36,3.56,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.59,0.141,-6.677,4.303,-4.746,-0.062,-5.953,5.953,-1.28,-1.66,0.06,2.09,2.25,-1.52,0.73,-0.97
6.068,-1.36,3.56,-22.12,-64.41,1.36,3.65,-22.0,-65.64,4.656,-0.005,-6.571,4.416,-4.648,0.208,-5.883,6.0,2.18,-3.16,-1.35,0.13,0.71,-3.23,-0.78,2.03
6.119,-1.36,3.57,-22.12,-64.41,1.37,3.66,-22.0,-65.64,4.863,0.21,-6.789,4.291,-4.762,0.244,-5.831,5.981,2.18,0.48,-1.31,-0.74,1.39,0.79,-0.48,-1.97
6.169,-1.36,3.57,-22.12,-64.41,1.36,3.66,-22.0,-65.64,4.707,0.263,-6.588,4.345,-4.727,-0.063,-5.838,6.009,-1.35,2.75,-0.1,1.01,-0.68,-1.54,-0.19,-0.85
