t,q0,dq0,tau0,cmd0,kp0,kd0,q1,dq1,tau1,cmd1,kp1,kd1,q2,dq2,tau2,cmd2,kp2,kd2,q3,dq3,tau3,cmd3,kp3,kd3,q4,dq4,tau4,cmd4,kp4,kd4,q5,dq5,tau5,cmd5,kp5,kd5,q6,dq6,tau6,cmd6,kp6,kd6,q7,dq7,tau7,cmd7,kp7,kd7,q8,dq8,tau8,cmd8,kp8,kd8,q9,dq9,tau9,cmd9,kp9,kd9
0.0420,11.609,2.7,-0.013,11.600,100.00,6.00,37.688,-2.7,-0.023,37.684,50.00,4.00,72.438,1.3,-0.020,72.434,80.00,3.50,81.688,2.1,-0.027,81.627,30.00,2.00,-16.141,1.8,-0.144,-16.139,100.00,6.00,-37.000,1.6,0.022,-36.997,50.00,4.00,-78.812,-1.5,-0.026,-78.810,80.00,3.50,-85.000,-1.5,0.008,-85.064,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0440,11.609,1.8,0.020,11.600,100.00,6.00,37.688,-2.4,-0.030,37.684,50.00,4.00,72.438,-2.8,-0.035,72.433,80.00,3.50,81.688,1.5,-0.022,81.627,30.00,2.00,-16.156,-1.5,0.076,-16.139,100.00,6.00,-37.000,-1.8,0.038,-36.997,50.00,4.00,-78.812,-3.0,-0.011,-78.809,80.00,3.50,-85.000,0.1,-0.034,-85.064,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0460,11.609,1.3,-0.024,11.600,100.00,6.00,37.688,-1.0,0.014,37.683,50.00,4.00,72.438,1.2,0.074,72.433,80.00,3.50,81.625,-0.3,-0.015,81.627,30.00,2.00,-16.156,-3.3,-0.023,-16.138,100.00,6.00,-37.000,1.1,-0.044,-36.996,50.00,4.00,-78.812,-2.1,0.005,-78.809,80.00,3.50,-85.000,2.1,0.019,-85.064,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0480,11.602,0.3,0.078,11.600,100.00,6.00,37.688,1.2,-0.008,37.683,50.00,4.00,72.438,-2.1,0.035,72.432,80.00,3.50,81.625,-1.3,-0.034,81.627,30.00,2.00,-16.156,-1.1,-0.146,-16.138,100.00,6.00,-37.000,-2.3,0.052,-36.996,50.00,4.00,-78.812,-0.4,0.003,-78.808,80.00,3.50,-85.000,2.1,-0.055,-85.065,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0500,11.602,-0.3,-0.082,11.600,100.00,6.00,37.688,-3.2,-0.021,37.682,50.00,4.00,72.438,0.4,-0.024,72.431,80.00,3.50,81.625,-5.6,0.008,81.628,30.00,2.00,-16.141,2.6,0.072,-16.138,100.00,6.00,-37.000,1.4,-0.112,-36.995,50.00,4.00,-78.812,-2.8,-0.018,-78.808,80.00,3.50,-85.000,0.1,-0.008,-85.065,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0520,11.594,-4.6,-0.039,11.599,100.00,6.00,37.688,-0.1,-0.037,37.681,50.00,4.00,72.438,0.6,0.007,72.430,80.00,3.50,81.625,-1.2,-0.006,81.628,30.00,2.00,-16.156,-0.5,-0.063,-16.138,100.00,6.00,-37.000,-0.8,-0.140,-36.994,50.00,4.00,-78.812,-4.2,-0.096,-78.807,80.00,3.50,-85.000,1.8,0.002,-85.065,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0540,11.602,-1.3,-0.023,11.599,100.00,6.00,37.688,-1.0,0.028,37.681,50.00,4.00,72.438,0.4,-0.008,72.429,80.00,3.50,81.625,0.4,-0.020,81.628,30.00,2.00,-16.141,0.6,-0.058,-16.137,100.00,6.00,-37.000,-1.6,0.062,-36.994,50.00,4.00,-78.812,-0.8,0.032,-78.806,80.00,3.50,-85.000,3.2,-0.008,-85.066,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0560,11.602,-1.0,-0.020,11.599,100.00,6.00,37.688,0.8,0.022,37.680,50.00,4.00,72.438,4.0,0.036,72.429,80.00,3.50,81.625,-3.2,-0.016,81.629,30.00,2.00,-16.156,-2.2,0.065,-16.137,100.00,6.00,-37.000,0.1,0.016,-36.993,50.00,4.00,-78.812,2.2,-0.015,-78.806,80.00,3.50,-85.000,-0.7,0.007,-85.066,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0580,11.609,2.8,-0.014,11.599,100.00,6.00,37.688,2.1,0.053,37.679,50.00,4.00,72.438,-1.3,-0.025,72.428,80.00,3.50,81.625,-1.6,0.035,81.629,30.00,2.00,-16.156,-2.0,0.047,-16.136,100.00,6.00,-37.000,-2.2,-0.007,-36.992,50.00,4.00,-78.812,-1.3,-0.060,-78.805,80.00,3.50,-85.000,-1.0,-0.079,-85.066,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
0.0600,11.609,1.2,-0.015,11.598,100.00,6.00,37.688,-2.2,-0.043,37.678,50.00,4.00,72.438,-2.3,-0.028,72.427,80.00,3.50,81.625,0.4,-0.023,81.629,30.00,2.00,-16.141,1.1,-0.051,-16.136,100.00,6.00,-37.000,-2.6,-0.014,-36.992,50.00,4.00,-78.812,0.8,-0.026,-78.804,80.00,3.50,-85.062,-2.7,-0.023,-85.067,30.00,2.00,0.000,0.0,0.000,0.000,50.00,2.50,0.000,0.0,0.000,0.000,50.00,2.50
