t,pct,split,q0,q1,q2,q3,q4,q5,q6,q7,cmd0,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,cmd7,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ff0,ff1,ff2,ff3,ff4,ff5,ff6,ff7,aux0,aux1,aux2,aux3,aux4,aux5,aux6,aux7
4453.229,35.4,50.0,2.887,9.328,34.406,91.312,-2.350,-11.375,-50.125,-94.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.273,-2.113,0.067,-0.366,5.035,1.726,-0.008,0.526,-0.903,2.632,0.437,3.977,0.911,2.709,0.475,3.983,3.273,6.457,34.500,91.125,-1.164,-9.797,-48.031,-94.062
4453.331,36.4,50.0,2.891,9.344,34.406,90.938,-2.348,-11.414,-50.156,-94.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.309,-1.860,0.117,-0.372,5.141,1.726,0.027,0.622,-0.927,2.700,0.443,4.087,0.938,2.781,0.485,4.097,4.523,5.625,34.500,91.000,-0.769,-9.953,-48.000,-94.062
4453.433,37.4,50.0,2.893,9.359,34.438,90.875,-2.348,-11.469,-50.156,-94.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.203,-1.935,0.116,-0.410,4.883,1.735,0.021,0.622,-0.952,2.774,0.454,4.200,0.963,2.846,0.490,4.210,4.219,6.238,34.500,90.562,-0.835,-9.555,-48.625,-93.938
4453.533,38.4,50.0,2.891,9.367,34.469,90.812,-2.350,-11.539,-50.188,-93.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.230,-1.906,0.367,-0.384,4.973,1.564,-0.135,0.468,-0.977,2.848,0.467,4.312,0.986,2.903,0.488,4.315,4.480,6.238,33.781,91.000,-1.296,-9.359,-48.344,-93.625
4453.633,39.4,50.0,2.906,9.414,34.469,90.688,-2.348,-11.570,-50.250,-93.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.086,-1.896,0.202,-0.458,5.133,1.639,-0.108,0.310,-0.998,2.910,0.471,4.422,1.010,2.970,0.494,4.421,3.141,5.426,33.469,90.125,-0.966,-9.688,-48.094,-94.125
4453.733,40.4,50.0,2.906,9.445,34.500,90.312,-2.359,-11.688,-50.281,-93.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.215,-1.948,0.151,-0.335,4.883,1.756,-0.036,0.408,-1.022,2.974,0.475,4.528,1.032,3.021,0.492,4.531,3.779,5.625,35.688,90.062,-0.835,-9.930,-48.625,-92.750
4453.833,41.4,50.0,2.908,9.492,34.594,90.250,-2.363,-11.844,-50.344,-92.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.141,-1.678,0.205,-0.452,4.812,1.876,-0.115,0.433,-1.046,3.043,0.486,4.639,1.055,3.062,0.484,4.639,3.449,6.766,35.250,90.812,-0.637,-10.016,-48.531,-92.750
4453.935,42.4,50.0,2.918,9.531,34.656,90.125,-2.359,-11.930,-50.406,-92.750,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.035,-1.735,0.136,-0.386,4.816,1.779,-0.145,0.366,-1.068,3.112,0.496,4.751,1.081,3.120,0.485,4.749,4.348,6.152,33.188,90.375,-0.769,-10.039,-48.656,-93.062
4454.037,43.5,50.0,2.918,9.586,34.719,90.125,-2.369,-11.938,-50.500,-92.562,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.062,-1.896,0.114,-0.550,4.609,1.711,-0.014,0.395,-1.093,3.178,0.505,4.864,1.103,3.197,0.500,4.861,3.953,5.820,35.250,89.812,-1.032,-10.211,-48.625,-93.312
4454.137,44.5,50.0,2.922,9.781,34.875,89.875,-2.359,-11.977,-50.562,-92.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.207,-2.018,-0.071,-0.368,4.727,1.689,0.039,0.470,-1.114,3.212,0.494,4.968,1.130,3.266,0.510,4.971,4.062,5.930,35.844,89.938,-1.230,-10.086,-48.688,-92.438
4454.239,45.5,50.0,2.934,9.961,34.938,89.688,-2.365,-12.008,-50.594,-92.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.113,-2.061,-0.028,-0.486,4.676,1.601,-0.002,0.386,-1.135,3.241,0.478,5.076,1.153,3.332,0.516,5.081,4.348,6.348,35.375,89.812,-1.296,-10.086,-48.969,-92.438
4454.339,46.5,50.0,2.934,9.969,35.000,89.562,-2.373,-12.094,-50.625,-91.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.121,-1.871,0.029,-0.422,5.035,1.705,-0.093,0.348,-1.159,3.314,0.491,5.185,1.174,3.379,0.508,5.185,4.766,6.457,34.656,89.812,-1.099,-10.211,-48.719,-92.125
4454.441,47.5,50.0,2.941,9.977,35.031,89.375,-2.363,-12.141,-50.688,-91.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.961,-1.861,-0.051,-0.434,4.680,1.651,-0.052,0.450,-1.180,3.384,0.499,5.296,1.202,3.446,0.517,5.298,4.129,6.457,33.781,89.688,-0.901,-10.148,-48.938,-91.875
4454.543,48.5,50.0,2.943,10.008,35.062,89.000,-2.379,-12.203,-50.719,-91.875,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.359,-1.787,0.046,-0.477,5.039,1.624,-0.124,0.517,-1.203,3.444,0.499,5.402,1.222,3.504,0.519,5.409,4.656,7.074,35.844,89.312,-1.032,-9.977,-48.969,-91.625
4454.643,49.5,50.0,2.953,10.109,35.062,88.875,-2.383,-12.375,-50.750,-91.750,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.184,-1.882,0.070,-0.322,4.738,1.955,-0.284,0.513,-1.223,3.483,0.488,5.509,1.245,3.529,0.498,5.515,3.449,6.152,35.094,88.875,-0.703,-10.211,-49.062,-91.875
4454.743,50.5,50.0,2.957,10.195,35.094,88.500,-2.385,-12.531,-50.750,-91.625,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.102,-1.975,0.145,-0.282,4.648,1.925,-0.287,0.389,-1.244,3.524,0.476,5.611,1.268,3.553,0.476,5.620,4.766,6.766,34.969,88.375,-1.362,-10.258,-48.969,-91.625
4454.845,51.5,50.0,2.969,10.359,35.188,88.500,-2.383,-12.539,-50.781,-91.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.012,-2.051,0.047,-0.353,4.730,1.849,-0.330,0.551,-1.264,3.556,0.464,5.720,1.293,3.620,0.481,5.728,4.328,6.656,34.656,88.562,-0.220,-10.305,-49.469,-91.188
4454.945,52.5,50.0,2.965,10.469,35.250,88.375,-2.389,-12.555,-50.781,-91.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.980,-2.070,0.037,-0.439,4.652,1.800,-0.305,0.575,-1.288,3.596,0.455,5.825,1.315,3.684,0.486,5.838,3.691,7.074,35.250,88.438,-0.769,-10.328,-49.156,-92.062
4455.047,53.6,50.0,2.973,10.516,35.312,88.250,-2.385,-12.562,-50.812,-91.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.090,-2.104,0.095,-0.413,4.668,1.646,-0.321,0.532,-1.309,3.655,0.458,5.935,1.342,3.755,0.496,5.950,4.219,6.656,34.656,88.438,-0.505,-10.281,-49.125,-91.312
4455.149,54.6,50.0,2.975,10.539,35.375,87.875,-2.395,-12.586,-50.875,-90.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.980,-2.004,-0.074,-0.337,4.812,1.560,-0.354,0.108,-1.331,3.714,0.459,6.039,1.361,3.815,0.496,6.053,4.172,7.074,34.969,88.562,-1.296,-10.328,-49.250,-91.625
4455.251,55.6,50.0,2.980,10.555,35.469,87.875,-2.398,-12.609,-50.938,-90.500,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.074,-1.993,0.023,-0.468,4.535,1.640,-0.413,0.387,-1.353,3.789,0.475,6.151,1.382,3.878,0.499,6.158,3.471,6.656,36.344,88.062,-0.901,-10.766,-48.969,-90.812
4455.351,56.6,50.0,2.984,10.586,35.500,87.812,-2.404,-12.633,-51.000,-90.250,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.895,-1.914,0.015,-0.455,4.578,1.552,-0.261,0.269,-1.375,3.849,0.479,6.259,1.403,3.941,0.504,6.262,4.461,7.383,36.500,88.250,-1.099,-10.211,-49.125,-90.938
4455.453,57.6,50.0,3.010,10.609,35.531,87.750,-2.400,-12.680,-51.156,-90.125,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.941,-1.818,-0.005,-0.487,4.730,1.568,0.026,0.381,-1.390,3.912,0.485,6.370,1.428,4.010,0.518,6.371,4.723,7.270,34.969,87.750,-1.296,-10.305,-49.500,-90.375
4455.555,58.6,50.0,3.010,10.680,35.594,87.625,-2.414,-12.711,-51.250,-90.062,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.074,-1.885,-0.096,-0.509,4.648,1.591,-0.047,0.422,-1.413,3.961,0.481,6.477,1.447,4.080,0.530,6.481,4.348,7.270,35.375,87.938,-1.099,-11.094,-49.344,-89.688
4455.657,59.7,50.0,3.037,10.742,35.625,87.250,-2.420,-12.750,-51.312,-90.000,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.855,-1.831,0.100,-0.437,4.832,1.464,-0.084,0.477,-1.424,4.001,0.468,6.578,1.469,4.143,0.536,6.591,5.402,7.160,35.094,87.125,-0.703,-11.312,-49.438,-90.125
4455.757,60.7,50.0,3.027,10.750,35.625,87.188,-2.416,-12.781,-51.344,-89.938,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.926,-1.845,0.100,-0.526,4.617,1.488,-0.044,0.562,-1.451,4.064,0.472,6.687,1.495,4.203,0.540,6.699,4.414,7.270,35.250,88.062,-1.099,-11.070,-49.812,-90.125
4455.859,61.7,50.0,3.037,10.773,35.656,87.062,-2.426,-12.820,-51.375,-89.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.918,-1.827,0.121,-0.526,4.781,1.469,-0.123,0.476,-1.471,4.124,0.474,6.795,1.515,4.260,0.540,6.807,5.645,7.160,35.375,87.750,-0.966,-10.828,-49.750,-90.125
4455.959,62.7,50.0,3.041,10.797,35.656,86.750,-2.426,-12.945,-51.375,-89.375,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-4.789,-1.813,0.212,-0.243,4.527,1.675,-0.155,0.444,-1.490,4.173,0.465,6.895,1.536,4.271,0.504,6.901,4.414,7.512,35.094,87.188,-1.472,-11.180,-49.812,-89.938
4456.061,63.7,50.0,3.068,10.867,35.688,86.562,-2.438,-13.070,-51.438,-89.312,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.000,-1.861,0.250,-0.419,4.445,1.629,-0.213,0.468,-1.501,4.212,0.453,7.000,1.555,4.300,0.488,7.007,5.602,7.645,35.375,86.500,-1.164,-11.266,-49.875,-89.938
4456.161,64.7,50.0,3.139,11.000,35.719,86.438,-2.445,-13.133,-51.500,-89.188,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.086,-1.784,0.270,-0.374,4.539,1.678,-0.151,0.423,-1.494,4.228,0.427,7.100,1.574,4.348,0.484,7.112,4.723,7.754,34.062,86.625,-0.637,-11.266,-49.750,-89.250
4456.261,65.7,50.0,3.154,11.047,35.750,86.062,-2.453,-13.156,-51.562,-88.875,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.125,-2.029,0.329,-0.220,4.555,1.682,-0.132,0.412,-1.507,4.267,0.412,7.197,1.592,4.403,0.483,7.211,5.207,7.141,36.344,86.625,-1.164,-11.250,-49.906,-88.438
4456.363,66.7,50.0,3.260,11.156,35.812,85.938,-2.494,-13.172,-51.625,-88.812,-0.630,4.012,32.739,97.398,1.060,-6.332,-48.469,-100.068,-5.367,-1.872,0.297,-0.339,4.562,1.560,-0.054,0.501,-1.484,4.294,0.394,7.300,1.599,4.471,0.493,7.320,5.227,7.383,36.125,86.938,-0.637,-11.266,-49.781,-89.062
